name,Face++83
notes,83-point template from faceplusplus.com
delin_pts,63;81;82
align_pts,63;81
width,1350
height,1350
points,83
lines,14

n,name,x,y,sym
0,mouth_upper_lip_left_contour2,606,836,42
1,mouth_upper_lip_left_contour3,623,852,46
2,mouth_lower_lip_right_contour3,716,893,39
3,mouth_upper_lip_left_contour1,647,819,72
4,left_eye_upper_left_quarter,515,570,34
5,left_eyebrow_lower_middle,525,517,55
6,contour_chin,674,1050,6
7,left_eyebrow_lower_left_quarter,480,524,43
8,right_eyebrow_lower_left_quarter,776,521,49
9,mouth_lower_lip_right_contour1,725,852,52
10,mouth_lower_lip_left_contour2,599,879,75
11,left_eye_bottom,546,601,17
12,mouth_lower_lip_bottom,674,898,12
13,contour_left9,600,1040,60
14,mouth_lower_lip_top,674,853,14
15,right_eyebrow_upper_middle,825,486,68
16,right_eyebrow_left_corner,729,518,48
17,right_eye_bottom,803,601,11
18,contour_left7,486,969,31
19,contour_left6,447,916,76
20,contour_left5,421,856,36
21,contour_left4,406,790,30
22,contour_left3,397,725,27
23,contour_left2,393,660,28
24,contour_left1,394,594,73
25,left_eye_lower_left_quarter,516,598,41
26,mouth_upper_lip_top,674,825,26
27,contour_right3,951,725,22
28,contour_right2,955,660,23
29,mouth_left_corner,570,859,45
30,contour_right4,943,790,21
31,contour_right7,862,969,18
32,left_eyebrow_left_corner,438,535,66
33,nose_right,755,739,54
34,right_eye_upper_right_quarter,833,570,4
35,nose_tip,674,710,35
36,contour_right5,928,856,20
37,nose_contour_lower_middle,674,766,37
38,right_eye_top,801,562,56
39,mouth_lower_lip_left_contour3,633,893,2
40,right_eye_right_corner,859,589,44
41,right_eye_lower_right_quarter,833,598,25
42,mouth_upper_lip_right_contour2,743,836,0
43,right_eyebrow_lower_right_quarter,868,524,7
44,left_eye_left_corner,490,589,40
45,mouth_right_corner,779,859,29
46,mouth_upper_lip_right_contour3,725,852,1
47,right_eye_lower_left_quarter,773,598,58
48,left_eyebrow_right_corner,620,518,16
49,left_eyebrow_lower_right_quarter,572,521,8
50,right_eye_center,803,579,57
51,left_eye_upper_right_quarter,579,570,67
52,mouth_lower_lip_left_contour1,623,852,9
53,contour_left8,538,1010,65
54,nose_left,594,739,33
55,right_eyebrow_lower_middle,823,517,5
56,left_eye_top,547,562,38
57,left_eye_center,545,579,50
58,left_eye_lower_right_quarter,576,598,47
59,nose_contour_right1,717,594,70
60,contour_right9,748,1040,13
61,right_eye_left_corner,746,592,79
62,left_eyebrow_upper_left_quarter,474,498,69
63,left_eye_pupil,545,579,81
64,right_eyebrow_upper_left_quarter,774,491,80
65,contour_right8,810,1010,53
66,right_eyebrow_right_corner,911,535,32
67,right_eye_upper_left_quarter,770,570,51
68,left_eyebrow_upper_middle,524,486,15
69,right_eyebrow_upper_right_quarter,874,498,62
70,nose_contour_left1,632,594,59
71,nose_contour_left2,612,692,74
72,mouth_upper_lip_right_contour1,701,819,3
73,contour_right1,954,594,24
74,nose_contour_right2,736,692,71
75,mouth_lower_lip_right_contour2,750,879,10
76,contour_right6,902,916,19
77,nose_contour_right3,717,755,78
78,nose_contour_left3,632,755,77
79,left_eye_right_corner,603,592,61
80,left_eyebrow_upper_right_quarter,575,491,64
81,right_eye_pupil,804,579,63
82,mouth_upper_lip_bottom,674,854,82

n,linetype,color,points
0,open,default,"24,23,22,21,20,19,18,53,13,6,60,65,31,76,36,30,27,28,73"
1,open,default,"29,0,3,26,72,42,45"
2,open,default,"29,1,82,46,45"
3,open,red,"29,52,14,9,45"
4,open,default,"29,10,39,12,2,75,45"
5,open,default,"44,4,56,51,79"
6,open,default,"44,25,11,58,79"
7,open,default,"61,67,38,34,40"
8,open,default,"61,47,17,41,40"
9,open,default,"32,62,68,80,48"
10,open,default,"32,7,5,49,48"
11,open,default,"16,64,15,69,66"
12,open,default,"16,8,55,43,66"
13,open,default,"70,71,54,78,37,77,33,74,59"

mask,points
left_eye,"44,4,56,51,79;79,58,11,25,44"
right_eye,"61,67,38,34,40;40,41,17,47,61"
nose,"70,71,54,78,37,77,33,74,59,70"
mouth,"29,0,3,26,72,42,45;45,75,2,12,39,10,29"
teeth,"29,52,14,9,45;45,46,82,1,29"
left_brow,"32,62,68,80,48;48,49,5,7,32"
right_brow,"16,64,15,69,66;66,43,55,8,16"
face,"24,23,22,21,20,19,18,53,13,6,60,65,31,76,36,30,27,28,73,15,68,24"
